id,city,mayor,date,year,source,speech_given,collected,type,note
indianapolis_2017,Indianapolis,Joe Hogsett,2017-04-17,2017,,Yes,No,State of the City,
fort_worth_2015,Fort Worth,Betsy Price,,NA,,,,,
fort_worth_2016,Fort Worth,Betsy Price,2016-02-16,2016,,Yes,No,State of the City,http://www.betsypriceformayor.com/state-of-the-city-address/
fort_worth_2017,Fort Worth,Betsy Price,2017-02-22,2017,,Yes,No,State of the City,Annoucement http://fortworthtexas.gov/news/2017/01/State-of-the-City/
charlotte_2015,Charlotte,,,NA,,,,,
charlotte_2016,Charlotte,,,NA,,,,,
charlotte_2017,Charlotte,,,NA,,,,,
seattle_2015,Seattle,Edward B. Murray,2015-02-17,2015,http://murray.seattle.gov/mayor-murrays-state-of-the-city-speech-as-prepared/,Yes,Yes,State of the City,
seattle_2016,Seattle,Edward B. Murray,2016-02-16,2016,http://murray.seattle.gov/wp-content/uploads/2016/02/FINAL-SPEECH-2016-State-of-the-City-1-1.pdf,Yes,Yes,State of the City,
seattle_2017,Seattle,Edward B. Murray,2017-02-21,2017,http://murray.seattle.gov/state-of-the-city-2017/,Yes,Yes,State of the City,
denver_2015,Denver,Michael B. Hancock,2015-07-20,2015,http://www.denverpost.com/2015/07/20/denver-mayor-michael-hancocks-2015-inaugural-address-full-text/,Yes,No,Inaugural Speech,
denver_2016,Denver,Michael B. Hancock,2017-07-11,2016,https://www.denvergov.org/content/dam/denvergov/Portals/728/documents/2016_SOTC/2016_State_of_the_City_Press_Release_Remarks_as_Prepared.pdf,Yes,Yes,State of the City,
denver_2017,Denver,Michael B. Hancock,2017-07-10,2017,http://www.denvergov.org/content/dam/denvergov/Portals/728/documents/Documents/2017%20State%20of%20the%20City%20Press%20Release%20Remarks%20as%20Prepared.pdf,Yes,Yes,State of the City,
el_paso_2015,El Paso,,,NA,,,,,
el_paso_2016,El Paso,,,NA,,,,,
el_paso_2017,El Paso,,,NA,,,,,
